IntensityIn IntensityOut Luminance
0.000000000000000000e+00 0.000000000000000000e+00 6.033333333333332910e-02
2.442002442002442000e-04 3.137254901960784270e-02 2.270000000000000073e-01
4.884004884004884001e-04 5.882352941176470507e-02 3.170000000000000040e-01
7.326007326007326001e-04 6.274509803921568540e-02 5.415000000000000924e-01
9.768009768009768001e-04 7.450980392156862642e-02 5.786666666666665515e-01
1.221001221001221000e-03 8.235294117647058709e-02 7.203333333333333810e-01
1.465201465201465200e-03 8.627450980392156743e-02 1.006999999999999895e+00
1.953601953601953600e-03 9.803921568627450844e-02 1.139000000000000012e+00
2.197802197802197800e-03 1.019607843137254888e-01 1.494999999999999885e+00
2.930402930402930400e-03 1.058823529411764691e-01 1.569333333333333469e+00
3.174603174603174600e-03 1.137254901960784298e-01 1.759333333333333194e+00
3.418803418803418800e-03 1.176470588235294101e-01 1.862333333333333174e+00
3.663003663003663000e-03 1.215686274509803905e-01 2.294999999999999929e+00
4.639804639804639801e-03 1.294117647058823373e-01 2.407666666666666178e+00
4.884004884004884001e-03 1.333333333333333315e-01 2.665333333333333332e+00
5.372405372405372401e-03 1.372549019607843257e-01 3.116666666666667140e+00
6.349206349206349201e-03 1.450980392156862586e-01 3.416000000000000369e+00
6.837606837606837601e-03 1.490196078431372528e-01 3.593666666666667009e+00
7.326007326007326001e-03 1.529411764705882470e-01 3.849666666666666348e+00
7.814407814407814401e-03 1.568627450980392135e-01 4.101999999999999424e+00
8.302808302808302801e-03 1.607843137254901800e-01 4.431999999999999496e+00
9.035409035409034534e-03 1.647058823529411742e-01 4.763666666666666494e+00
9.523809523809524669e-03 1.686274509803921684e-01 5.285000000000000142e+00
1.074481074481074480e-02 1.725490196078431349e-01 5.421333333333333115e+00
1.098901098901098813e-02 1.764705882352941013e-01 5.981333333333332725e+00
1.196581196581196493e-02 1.803921568627450955e-01 6.035666666666666735e+00
1.221001221001221000e-02 1.843137254901960898e-01 6.468333333333333712e+00
1.294261294261294173e-02 1.882352941176470562e-01 6.781666666666667176e+00
1.367521367521367520e-02 1.921568627450980227e-01 7.144999999999999574e+00
1.440781440781440867e-02 1.960784313725490169e-01 7.929333333333333123e+00
1.587301587301587213e-02 2.039215686274509776e-01 8.333500000000000796e+00
1.684981684981684893e-02 2.078431372549019440e-01 8.784000000000000696e+00
1.758241758241758240e-02 2.117647058823529382e-01 9.591666666666666785e+00
1.929181929181929267e-02 2.156862745098039325e-01 9.909666666666666401e+00
2.002442002442002267e-02 2.196078431372548989e-01 1.028333333333333321e+01
2.075702075702075614e-02 2.235294117647058654e-01 1.079333333333333123e+01
2.173382173382173294e-02 2.274509803921568596e-01 1.158999999999999808e+01
2.319902319902319987e-02 2.313725490196078538e-01 1.172999999999999865e+01
2.368742368742368654e-02 2.352941176470588203e-01 1.228000000000000114e+01
2.466422466422466334e-02 2.392156862745097867e-01 1.285666666666666735e+01
2.588522588522588347e-02 2.431372549019607809e-01 1.341333333333333400e+01
2.686202686202686374e-02 2.470588235294117752e-01 1.401999999999999957e+01
2.808302808302808387e-02 2.509803921568627416e-01 1.458999999999999808e+01
2.930402930402930400e-02 2.549019607843137081e-01 1.552333333333333343e+01
3.125763125763125760e-02 2.588235294117646745e-01 1.574000000000000021e+01
3.174603174603174427e-02 2.627450980392156965e-01 1.687999999999999901e+01
3.394383394383394120e-02 2.666666666666666630e-01 1.701999999999999957e+01
3.418803418803419147e-02 2.705882352941176294e-01 1.832333333333333414e+01
3.687423687423687507e-02 2.745098039215686514e-01 1.856666666666666643e+01
3.736263736263736174e-02 2.784313725490196179e-01 1.903000000000000114e+01
3.833943833943834201e-02 2.823529411764705843e-01 2.004333333333333300e+01
4.029304029304029561e-02 2.862745098039215508e-01 2.113666666666666671e+01
4.249084249084249254e-02 2.901960784313725172e-01 2.138999999999999702e+01
4.297924297924297921e-02 2.941176470588235392e-01 2.257333333333333414e+01
